DirectorID,First Name,Last Name,Gender,Dateofbirth,BirthPlace,Bio,Nickname,Height(cm),StarSign,Image
1,Michael,Mann,M,5 February 1943, New Mexico, I graduated high school just in time before my father left us. After graduating I immediately played the role of a father to my eight siblings. This role suits me as I understand the value of money ,Sofa King,190,Aquarian,
2,Sam,Mendes,M,1 August 1965, New York,d gives me the ability to train myself to look on the better side of life instead of focusing on problems.,Speedwell,183,Cancer,
3,Krzysztof,Kieslowski,M,27 June 1941, North Carolina,n left high school when a casting call landed him a part in director Judd Apatow's new prime-time comedy-drama Freaks and Geeks (1999-2000). He played Ken a burnout with a deadpan sense of humor in an ensemble of young actors just beginning their careers. Freaks and Geeks soon became a cult classic although it was canceled after just one season due to low ratings. Rogen joined Apatow's next television venture a comedy about college students called Undeclared (2001-02),Spider Fuji,187,Pisces,
4,Bernardo,Bertolucci,M,16 March 1941,  North Dakota,lived my entire live trying to help out my parents in terms of financial support in order for my siblings to stay at school and have a decent meal,Springheel Jack,181,Libra,
5,Roman,Polanski,M,18 August 1933, Ohio, I graduated high school just in time before my father left us. After graduating I immediately played the role of a father to my eight siblings. This role suits me as I understand the value of money ,Squatch,188,Aries,
6,Jim,Jarmusch,M,22 January 1953, Oklahoma,d gives me the ability to train myself to look on the better side of life instead of focusing on problems.,Stacker of Wheat,179,Leo,
7,Tim,Burton,M,25 August 1958, Oregon,n left high school when a casting call landed him a part in director Judd Apatow's new prime-time comedy-drama Freaks and Geeks (1999-2000). He played Ken a burnout with a deadpan sense of humor in an ensemble of young actors just beginning their careers. Freaks and Geeks soon became a cult classic although it was canceled after just one season due to low ratings. Rogen joined Apatow's next television venture a comedy about college students called Undeclared (2001-02),Sugar Man,181,Aquarian,
8,Orson,Welles,M,6 May 1915, Pennsylvania[F],lived my entire live trying to help out my parents in terms of financial support in order for my siblings to stay at school and have a decent meal,Suicide Jockey,183,Cancer,
9,Frank,Capra,M,18 May 1897, Rhode Island[G], I graduated high school just in time before my father left us. After graduating I immediately played the role of a father to my eight siblings. This role suits me as I understand the value of money ,Swampmasher,180,Pisces,
10,Anthony,Minghella,M,6 January 1954, South Carolina,d gives me the ability to train myself to look on the better side of life instead of focusing on problems.,Swerve,182,Libra,
11,James,Cameron,M,16 August 1954, South Dakota,n left high school when a casting call landed him a part in director Judd Apatow's new prime-time comedy-drama Freaks and Geeks (1999-2000). He played Ken a burnout with a deadpan sense of humor in an ensemble of young actors just beginning their careers. Freaks and Geeks soon became a cult classic although it was canceled after just one season due to low ratings. Rogen joined Apatow's next television venture a comedy about college students called Undeclared (2001-02),Tacklebox,187,Aries,
12,Sam,Peckinpah,M,21 February 1925, Tennessee,lived my entire live trying to help out my parents in terms of financial support in order for my siblings to stay at school and have a decent meal,Take Away,176,Leo,
